Generation, Mean, Best
0,12,28
1,15,28
2,17,32
3,20,37
4,22,37
5,24,39
6,25,39
7,27,43
8,29,43
9,31,43
10,32,43
11,33,45
12,35,45
13,36,48
14,36,48
15,37,48
16,37,48
17,38,48
18,38,48
19,40,48
20,40,48
21,40,50
22,41,51
23,42,51
24,42,51
25,43,51
26,44,51
27,44,51
28,45,53
29,46,55
30,46,56
31,47,56
32,47,56
33,48,56
34,49,56
35,49,58
36,49,58
37,49,58
38,49,58
39,50,58
40,50,58
41,51,58
42,52,58
43,52,58
44,53,58
45,52,58
46,53,58
47,53,58
48,53,58
49,53,58
50,54,58
51,53,58
52,53,58
53,53,58
54,54,58
55,54,58
56,53,58
57,54,59
58,53,59
59,54,59
60,53,59
61,53,59
62,54,59
63,54,59
64,54,59
65,54,59
66,54,59
67,54,59
68,53,59
69,53,59
70,53,59
71,53,59
72,53,59
73,54,59
74,54,59
75,54,59
76,54,59
77,54,59
78,54,59
79,54,59
80,54,59
81,54,59
82,54,59
83,54,59
84,54,59
85,55,59
86,54,59
87,54,59
88,54,59
89,54,59
90,55,59
91,55,59
92,54,59
93,54,60
94,54,60
95,55,60
96,55,60
97,54,60
98,54,60
99,54,60
100,54,60
101,54,60
102,54,60
103,54,60
104,54,60
105,55,60
106,55,60
107,55,60
108,55,60
109,55,60
110,55,60
111,55,60
112,54,60
113,55,60
114,55,60
115,55,60
116,55,60
117,55,60
118,55,60
119,56,60
120,55,60
121,56,60
122,56,60
123,56,60
124,56,60
125,56,60
126,56,60
127,57,60
128,56,60
129,56,60
130,56,60
131,56,60
132,55,60
133,56,60
134,56,60
135,56,60
136,56,60
137,56,60
138,55,60
139,56,60
140,56,60
141,55,60
142,55,60
143,56,60
144,56,60
145,55,60
146,56,60
147,56,60
148,55,60
149,55,60
150,56,60
151,55,60
152,55,60
153,56,60
154,56,60
155,56,60
156,56,60
157,55,60
158,55,60
159,55,60
160,55,60
161,55,60
162,56,60
163,56,60
164,56,60
165,56,60
166,55,60
167,56,60
168,56,60
169,55,60
170,55,60
171,56,60
172,56,60
173,55,60
174,55,60
175,55,60
176,56,60
177,56,60
178,56,60
179,56,60
180,56,60
181,56,60
182,56,60
183,55,60
184,55,60
185,55,60
186,55,60
187,56,60
188,56,60
189,56,60
190,56,60
191,55,60
192,56,60
193,56,60
194,56,60
195,55,60
196,56,60
197,56,60
198,56,60
199,56,60
